Festival;year;Notes;Stage name;Main genre;genres on Spotify
Glastonbury;1990;;happy mondays;indie;alt-indie rock,alternative rock,big beat,britpop,dance rock,electronic,indie rock,madchester,neo-psychedelic,new romantic,new wave,new wave pop,post-punk,uk post-punk
Isle of Wight;2002;;The charlatans;indie;alt-indie rock,alternative rock,big beat,britpop,chamber psych,dance rock,dream pop,electronic,indie rock,madchester,neo-psychedelic,new wave
Reading;1999;;the charlatans;indie;alt-indie rock,alternative rock,big beat,britpop,chamber psych,dance rock,dream pop,electronic,indie rock,madchester,neo-psychedelic,new wave
t in the park;1997;;the charlatans;indie;alt-indie rock,alternative rock,big beat,britpop,chamber psych,dance rock,dream pop,electronic,indie rock,madchester,neo-psychedelic,new wave
v festival;1998;;the charlatans;indie;alt-indie rock,alternative rock,big beat,britpop,chamber psych,dance rock,dream pop,electronic,indie rock,madchester,neo-psychedelic,new wave
lovebox;2011;;the wombats;indie;alt-indie rock,alternative dance,garage rock,indie christmas,indie pop,indie rock,indietronica,new rave
end of the road festival;2014;;wild beasts;indie;alt-indie rock,alternative dance,chamber pop,chamber psych,chillwave,dance-punk,dream pop,indie pop,indie r&b,indie rock,indietronica,leeds indie,new rave,nu gaze,shimmer pop,synthpop
boardmasters;2011;;bombay bicycle club;indie;alt-indie rock,alternative dance,british indie rock,folk-pop,garage rock,indie folk,indie pop,indie rock,indietronica,new rave,shimmer pop,stomp and holler,synthpop
Latitude;2016;;The Maccabees;indie;alt-indie rock,alternative dance,british indie rock,britpop,dance-punk,garage rock,indie folk,indie rock,indietronica,new rave,shimmer pop
bestival;2007;;Primal Scream;rock;alt-indie rock,alternative dance,alternative rock,big beat,britpop,classic rock,dance rock,dance-punk,dream pop,electronic,funk rock,garage rock,indie rock,madchester,neo-psychedelic,new rave,new wave,rock,space rock,trip hop
Glastonbury;1998;;Primal Scream;rock;alt-indie rock,alternative dance,alternative rock,big beat,britpop,classic rock,dance rock,dance-punk,dream pop,electronic,funk rock,garage rock,indie rock,madchester,neo-psychedelic,new rave,new wave,rock,space rock,trip hop
t in the park;1994;;Primal Scream;rock;alt-indie rock,alternative dance,alternative rock,big beat,britpop,classic rock,dance rock,dance-punk,dream pop,electronic,funk rock,garage rock,indie rock,madchester,neo-psychedelic,new rave,new wave,rock,space rock,trip hop
cornbury festival;2015;;the jacques;indie;alt-indie rock
end of the road festival;2011;;beirut;folk;albuquerque indie,chamber pop,folk-pop,freak folk,indie folk,indie pop,indie rock,stomp and holler
Isle of Wight;2013;;Bon Jovi;rock;album rock,glam metal,hard rock,heavy christmas,rock
rewind;2014;;thompson twins;pop;album rock,dance rock,disco,mellow gold,new romantic,new wave,new wave pop,rock,soft rock,synthpop
rewind;2015;;thompson twins;pop;album rock,dance rock,disco,mellow gold,new romantic,new wave,new wave pop,rock,soft rock,synthpop
Reading;2004;;The Darkness;rock;album rock,comic,glam metal,hard rock,heavy christmas,metal,rock
t in the park;2004;;The Darkness;rock;album rock,comic,glam metal,hard rock,heavy christmas,metal,rock
download;2003;;Iron Maiden;metal;album rock,classic rock,hard rock,metal,nwobhm,rock
download;2007;;Iron Maiden;metal;album rock,classic rock,hard rock,metal,nwobhm,rock
download;2013;;Iron Maiden;metal;album rock,classic rock,hard rock,metal,nwobhm,rock
download;2016;;Iron Maiden;metal;album rock,classic rock,hard rock,metal,nwobhm,rock
